URL,Product Name,Price (in ₹),Prodcut ratings,Number of reviews
www.amazon.in/Badminton-Tennis-Squash-Racket-Drawstring/dp/B09ZKYVQHK,Loom Tree Badminton Tennis Squash Racket Cover Pack Case Carry Bag with Drawstring,349.,3.8 out of 5 stars,6
www.amazon.in/Badminton-Racket-Shoulder-Outdoor-Multi-Purpose/dp/B09ZKXLY5R,Loom Tree Sport Badminton Racket Bag Single Shoulder Outdoor Multi-Purpose Pack Yellow,389.,5.0 out of 5 stars,5
www.amazon.in/Calandis-Badminton-Tennis-Squash-Drawstring/dp/B09ZNVG4B3,CALANDIS Badminton Tennis Squash Racket Cover Pack Case Carry Bag with Drawstring,598,4.4 out of 5 stars,4
www.amazon.in/Trendy-Retail-Badminton-Shoulder-Multi-Purpose/dp/B09TBPR5ZM,Trendy Retail Sport Badminton Racket Bag Single Shoulder Outdoor Multi-Purpose Pack Coffee,699,4.1 out of 5 stars,"3,230"
www.amazon.in/uppercase-Professional-Backpack-resistant-sustainable/dp/B0BRMWDNZ7,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",529,3.6 out of 5 stars,514
www.amazon.in/Impulse-Imptag-Backpack-Business-Resistant/dp/B0C1CRFTFP,Impulse Imptag 45L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with Rain Cover & 1 Year Warranty,499,3.7 out of 5 stars,130
www.amazon.in/Impulse-Impbee-Backpack-Business-Resistant/dp/B0C1CSS81H,Impulse Impbee 45L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with Rain Cover & 1 Year Warranty,599,3.0 out of 5 stars,9
www.amazon.in/Impulse-Seacon-Backpack-Business-Resistant/dp/B0C1CQWVR9,Impulse Seacon 40L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,899,3.9 out of 5 stars,5
www.amazon.in/Impulse-ImpExplore-Backpack-Business-Resistant/dp/B0C1CS244V,Impulse ImpExplore 45L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with Rain Cover & 1 Year Warranty,698,4.3 out of 5 stars,13
www.amazon.in/Impulse-Parkar-Backpack-Business-Resistant/dp/B0C1H2PRCF,Impulse Parkar 40L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,"1,050",4.0 out of 5 stars,511
www.amazon.in/Impulse-ImpTravel-Backpack-Business-Resistant/dp/B0C1CSRTYG,Impulse ImpTravel U 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,749,4 Stars & Up,70
www.amazon.in/Impulse-Seacon-Lite-Resistant-Black/dp/B0C3MM2D6X,Impulse Seacon Lite 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty(Black),649,3 Stars & Up,3
www.amazon.in/uppercase-Backpack-1800EBP1-resistant-sustainable/dp/B0B9T4YDPX,"uppercase Laptop Backpack Printed Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys & Girls(Pink)",599,2 Stars & Up,37
www.amazon.in/Backpack-Business-Resistant-Computer-Notebook/dp/B07QN4C359,"OPTIMA High Voltage series Travel Laptop Backpack, Business Slim Durable Laptops Backpack,Water Resistant College School Computer Bag for Women & Men Fits 15.6 Inch Laptop and Notebook",988,1 Star & Up,43
www.amazon.in/Impulse-Seacon-Lite-Resistant-Grey/dp/B0C3MM9MPK,Impulse Seacon Lite 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty(Grey),849,4.5 out of 5 stars,2
www.amazon.in/F-Gear-Bluechip%C2%A0Black-38-Ltrs-Laptop-Backpack/dp/B08Z83XFWB,F Gear Bluechip Black 30 Ltrs Laptop Backpack (3749),849,Previous page,1
www.amazon.in/Original-Bags-Rucksack-Backpack-Znt/dp/B079M693B8,Brown Vintage Leather Backpack Laptop Messenger Bag for College School Office Rucksack by ZNT BAGS (Ganune Brown),549,Next page,15
www.amazon.in/Targus-Cypress-EcoSmart-TBS92602GL-Slipcase/dp/B0868RYRYC,"Targus 35.56 cm (14"") Cypress EcoSmart TBS92602GL Slipcase (Grey)",990,Previous page,101
www.amazon.in/POLICE-ltrs-cms-backpack-PTO020008_1_black/dp/B0B81YTTWS,"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water resistant sustainable bag with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",425,Next page,108
www.amazon.in/Stanley-Skating-Resistant-Backpack-Computer/dp/B09791CP7X,"jaspo Roller Skating Bag, Quad & Inline Skates (Water Resistant), Casual/Office/College Book Backpack Computer/Laptop Bag for Both Kids & Adults Travel Backpack",499,Previous page,704
www.amazon.in/Bags-Field-Polyester-Resistant-Backpack/dp/B0BT9V5B2V,Bags Field Polyester Freesia 25L Water Resistant Laptop/College/School/Office Bag Backpack for Men/Women/Boys/Girls with Rain Cover (Red),899,4.0 out of 5 stars,500
www.amazon.in/Generic-LAPTOP-BAG-0-150/dp/B0BS9XD21P,LAPTOP BAG,499,3.9 out of 5 stars,5
www.amazon.in/JanSport-Main-Campus-Cordura-Backpack/dp/B08W2KT6DJ,"JanSport Main Campus Cordura Backpack - School, Travel, or Work Bookbag w 15-Inch Laptop Pack with Leather Trims",999,4.1 out of 5 stars,4
www.amazon.in/Enterfit-Software-Engineer-Printed-Laptop/dp/B08XNXBPTN,Enterfit Software Engineer Printed Laptop Bag,728,4.2 out of 5 stars,10
www.amazon.in/United-Colors-Benetton-Backpack-Standard/dp/B091PQ5CMV,"United Colors of Benetton 18L Navy/Red Laptop Backpack, Standard",980,4.0 out of 5 stars,61
www.amazon.in/Trendy-Retail-Waterproof-Resistance-Badminton/dp/B09TCP9T51,Trendy Retail Waterproof Tennis Racket Backpack Abrasion Resistance Badminton Bag Purple,398,4.3 out of 5 stars,16
www.amazon.in/CALANDIS-Skating-Breathable-Storage-Handbags/dp/B0BSNMS9YW,CALANDIS Skating Shoes Bag Breathable Skates Storage Bag Handbags Roller Skates Bag Black,836,Next page,14
www.amazon.in/CALANDIS-Tennis-Handbag-Portable-Racquet/dp/B0BSNNQ81Y,CALANDIS Tennis Handbag Portable Racquet Covers Sport Bag Tote Tennis Racket Bag White,479,4.5 out of 5 stars,1
www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),"2,883",4.5 out of 5 stars,4
www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)","3,045",4.0 out of 5 stars,1
www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,549,4.3 out of 5 stars,3
www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,599,4.0 out of 5 stars,322
www.amazon.in/Half-Moon-Trekking-Bags-Compartment/dp/B08PSX1LN9,Half Moon 45L Hammer Waterproof Laptop Travelling Rucksack Trekking Backpack for Travel Journey bags for Men Women Boys & Girls with 17.3inch Laptop Compartment & Rain cover,919,3.9 out of 5 stars,2
www.amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y5S6C2P,"Tabelito® Casual Laptop Bag 15.6inch (39.6 cm) , 25 LTR Office College School Bags Business Travel Backpack for Men Women Water Resistant Bags(BLACK)",499,3.9 out of 5 stars,1
www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",840,3.8 out of 5 stars,15
www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QM2GD,NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,"1,650",3.9 out of 5 stars,"7,045"
www.amazon.in/TRUE-HUMAN-Anti-Theft-charging-combination/dp/B09H7PK5ML,TRUE HUMAN Anti-Theft and USB charging port backpack with security lock Laptop bag|office bag| for men and women (Grey),920,4.1 out of 5 stars,851
www.amazon.in/Half-Moon-Travelling-Rucksack-Compartment/dp/B09WDGZ32L,Half Moon 55 litres Travelling Laptop Bag/Rucksack Backpack for Luggage Travel Journey Trekking Hiking Bags for Men Women Boys and Girls with Laptop Compartment & Rain Cover,921,3.9 out of 5 stars,602
www.amazon.in/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LF4RT5,"FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Dark Grey,Oxford Fabric)","1,064",4.4 out of 5 stars,851
www.amazon.in/Hoteon-Backpack-Anti-Theft-Earphone-Resistant/dp/B08HM4TQZZ,"Golden Wolf Laptop Bag Anti-theft Backpack with Lock College School Laptop Backpack with Rain Cover Water Resistant Business Backpack with USB Port for 15.6-inch Laptop Office Travel Bag for Men and Women Gifts, Dark Grey",599,3.8 out of 5 stars,114
